!!SBtab TableName='Reaction' TableType='Reaction'																			
!Reaction	!SumFormula	!Reaction:Identifiers:kegg.reaction	!IsReversible	!NameForPlots	!Gene	!Bnumber													
PTS_RPTSsy	D_Glucose + Phosphoenolpyruvate <=> Pyruvate + D_Glucose_6_phosphate	RPTSsy	1	pts	ptsG + crr	b1101 + b2417													
PGI_R02740	D_Glucose_6_phosphate <=> D_Fructose_6_phosphate	R02740	1	pgi	pgi	b4025													
PFK_R04779	ATP + D_Fructose_6_phosphate <=> ADP + D_Fructose_1_6_bisphosphate	R04779	1	pfk	pfkB + pfkA	b1723 + b3916													
ALD_R01070	D_Fructose_1_6_bisphosphate <=> Glycerone_phosphate + D_Glyceraldehyde_3_phosphate	R01070	1	fba	fbaB + fbaA	b2097 + b2925													
TIM_R01015	Glycerone_phosphate <=> D_Glyceraldehyde_3_phosphate	R01015	1	tim	tpiA	b3919													
GAP_R01061	Orthophosphate + NADplus + D_Glyceraldehyde_3_phosphate <=> NADH + _3_Phospho_D_glyceroyl_phosphate	R01061	1	gap	gapA	b1779													
PGK_R01512	ADP + _3_Phospho_D_glyceroyl_phosphate <=> ATP + _3_Phospho_D_glycerate	R01512	1	pgk	pgk	b2926													
PGM_R01518	_3_Phospho_D_glycerate <=> _2_Phospho_D_glycerate	R01518	1	gpm	gpmA + gpmM + ytjC	b0755 + b3612 + b4395													
ENO_R00658	_2_Phospho_D_glycerate <=> H2O + Phosphoenolpyruvate	R00658	1	eno	eno	b2779													
PYK_R00200	ADP + Phosphoenolpyruvate <=> Pyruvate + ATP	R00200	1	pyk	pykF + pykA	b1676 + b1854													
PDH_R00209	Pyruvate + NADplus + CoA <=> Acetyl_CoA + NADH + CO2	R00209	1	pdh	aceE + aceF + lpd	b0114 + b0115 + b0116													
ZWF_R00835	NADPplus + D_Glucose_6_phosphate <=> NADPH + D_Glucono_1_5_lactone_6_phosphate	R00835	1	zwf	zwf	b1852													
GLH_R02035	H2O + D_Glucono_1_5_lactone_6_phosphate <=> _6_Phospho_D_gluconate	R02035	1	pgl	pgl	b0767													
PGD_R01528	_6_Phospho_D_gluconate + NADPplus <=> NADPH + D_Ribulose_5_phosphate + CO2	R01528	1	gnd	gnd	b2029													
RPI_R01056	D_Ribulose_5_phosphate <=> D_Ribose_5_phosphate	R01056	1	rpi	rpiA + rpiB	b2914 + b4090													
RPE_R01529	D_Ribulose_5_phosphate <=> D_Xylulose_5_phosphate	R01529	1	rpe	rpe	b3386													
TXT_R01641	D_Xylulose_5_phosphate + D_Ribose_5_phosphate <=> D_Glyceraldehyde_3_phosphate + Sedoheptulose_7_phosphate	R01641	1	tkt1	tktB + tktA	b2465 + b2935													
