!!SBtab TableName='Reaction' TableType='Reaction'						
!Reaction	!SumFormula	!IsReversible	!Gene			
PTS_RPTSsy	D_Glucose + Phosphoenolpyruvate <=> Pyruvate + D_Glucose_6_phosphate	1	PTS			
PGI_R02740	D_Glucose_6_phosphate <=> D_Fructose_6_phosphate	1	PGI			
PFK_R04779	ATP + D_Fructose_6_phosphate <=> ADP + D_Fructose_1_6_bisphosphate	1	PFK			
ALD_R01070	D_Fructose_1_6_bisphosphate <=> Glycerone_phosphate + D_Glyceraldehyde_3_phosphate	1	ALD			
TIM_R01015	Glycerone_phosphate <=> D_Glyceraldehyde_3_phosphate	1	TIM			
GAP_R01061	Orthophosphate + NADplus + D_Glyceraldehyde_3_phosphate <=> NADH + _3_Phospho_D_glyceroyl_phosphate	1	GAP			
PGK_R01512	ADP + _3_Phospho_D_glyceroyl_phosphate <=> ATP + _3_Phospho_D_glycerate	1	PGK			
PGM_R01518	_3_Phospho_D_glycerate <=> _2_Phospho_D_glycerate	1	PGM			
PGH_R00658	_2_Phospho_D_glycerate <=> H2O + Phosphoenolpyruvate	1	PGH			
PYK_R00200	ADP + Phosphoenolpyruvate <=> Pyruvate + ATP	1	PYK			
PDH_R00209	Pyruvate + NADplus + CoA <=> Acetyl_CoA + NADH + CO2	1	PDH			
ZWF_R00835	NADPplus + D_Glucose_6_phosphate <=> NADPH + D_Glucono_1_5_lactone_6_phosphate	1	ZWF			
GLH_R02035	H2O + D_Glucono_1_5_lactone_6_phosphate <=> _6_Phospho_D_gluconate	1	GLH			
PGD_R01528	_6_Phospho_D_gluconate + NADPplus <=> NADPH + D_Ribulose_5_phosphate + CO2	1	PGD			
RPI_R01056	D_Ribulose_5_phosphate <=> D_Ribose_5_phosphate	1	RPI			
RPE_R01529	D_Ribulose_5_phosphate <=> D_Xylulose_5_phosphate	1	RPE			
TXT_R01641	D_Xylulose_5_phosphate + D_Ribose_5_phosphate <=> D_Glyceraldehyde_3_phosphate + Sedoheptulose_7_phosphate	1	TXT			
TAL_R08575	D_Glyceraldehyde_3_phosphate + Sedoheptulose_7_phosphate <=> D_Erythrose_4_phosphate + D_Fructose_6_phosphate	1	TAL			
TXT_R01067	D_Erythrose_4_phosphate + D_Xylulose_5_phosphate <=> D_Glyceraldehyde_3_phosphate + D_Fructose_6_phosphate	1	TXT			
FBP_R00762	H2O + D_Fructose_1_6_bisphosphate <=> Orthophosphate + D_Fructose_6_phosphate	1	FBP			
CSN_R00351	Acetyl_CoA + H2O + Oxaloacetate <=> CoA + Citrate	1	CSN			
ACN_R00351	Citrate <=> cis_Aconitate + H2O	1	ACN			
ACN_R01900	cis_Aconitate + H2O <=> Isocitrate	1	ACN			
ICD_R00709	NADplus + Isocitrate <=> NADH + _2_Oxoglutarate + CO2	1	ICD			
KGD_R08549	NADplus + _2_Oxoglutarate + CoA <=> NADH + CO2 + Succinyl_CoA	1	KGD			
SCS_R00405	Orthophosphate + ADP + Succinyl_CoA <=> ATP + CoA + Succinate	1	SCS			
SDH_R02164	Ubiquinone + Succinate <=> Fumarate + Ubiquinol	1	SDH			
FUM_R01082	Fumarate + H2O <=> _S__Malate	1	FUM			
MDH_R00342	_S__Malate + NADplus <=> NADH + Oxaloacetate	1	MDH			
EDD_R02036	_6_Phospho_D_gluconate <=> H2O + _2_Keto_3_deoxy_6_phospho_gluconate	1	EDD			
EDA_R05605	_2_Keto_3_deoxy_6_phospho_gluconate <=> Pyruvate + D_Glyceraldehyde_3_phosphate	1	EDA			
